
code	|	name	|	preferred name	|	lineage
1	|	Abiotrophia defectiva	|	 	|	46125 46123 186827 186826 91061 1239 1783272 2 131567 
2	|	Absiella dolichum	|	Amedibacillus dolichus	|	31971 2749846 128827 526525 526524 1239 1783272 2 131567 
1	|	Acaricomes phytoseiuli	|	 	|	291968 291967 1268 85006 1760 201174 1783272 2 131567 
1	|	Acaryochloris marina	|	 	|	155978 155977 1890429 1890424 1117 1798711 1783272 2 131567 
1	|	Acetanaerobacterium elongatum	|	 	|	258515 258514 541000 186802 186801 1239 1783272 2 131567 
1	|	Acetitomaculum ruminis	|	 	|	2382 31980 186803 186802 186801 1239 1783272 2 131567 
1	|	Acetivibrio ethanolgignens	|	 	|	290052 35829 541000 186802 186801 1239 1783272 2 131567 
1	|	Acetoanaerobium sticklandii	|	 	|	1511 186831 186804 186802 186801 1239 1783272 2 131567 
1	|	Acetobacter aceti	|	 	|	435 151157 434 433 204441 28211 1224 2 131567 
1	|	Acetobacter cibinongensis	|	 	|	146475 434 433 204441 28211 1224 2 131567 
1	|	Acetobacter ghanensis	|	 	|	431306 434 433 204441 28211 1224 2 131567 
1	|	Acetobacter indonesiensis	|	 	|	104101 434 433 204441 28211 1224 2 131567 
1	|	Acetobacter nitrogenifigens	|	 	|	285268 434 433 204441 28211 1224 2 131567 
1	|	Acetobacter okinawensis	|	 	|	1076594 434 433 204441 28211 1224 2 131567 
1	|	Acetobacter orientalis	|	 	|	146474 434 433 204441 28211 1224 2 131567 
1	|	Acetobacter papayae	|	 	|	1076592 434 433 204441 28211 1224 2 131567 
1	|	Acetobacter pasteurianus	|	 	|	438 434 433 204441 28211 1224 2 131567 
1	|	Acetobacter persici	|	 	|	1076596 434 433 204441 28211 1224 2 131567 
1	|	Acetobacter senegalensis	|	 	|	446692 434 433 204441 28211 1224 2 131567 
1	|	Acetobacterium bakii	|	 	|	52689 33951 186806 186802 186801 1239 1783272 2 131567 
1	|	Acetobacterium dehalogenans	|	 	|	82116 33951 186806 186802 186801 1239 1783272 2 131567 
1	|	Acetobacterium wieringae	|	 	|	52694 33951 186806 186802 186801 1239 1783272 2 131567 
1	|	Acetobacterium woodii	|	 	|	33952 33951 186806 186802 186801 1239 1783272 2 131567 
1	|	Acetohalobium arabaticum	|	 	|	28187 28186 53434 53433 186801 1239 1783272 2 131567 
1	|	Acholeplasma axanthum	|	 	|	29552 2147 2146 186329 31969 544448 1783272 2 131567 
1	|	Acholeplasma brassicae	|	 	|	61635 2147 2146 186329 31969 544448 1783272 2 131567 
1	|	Acholeplasma equifetale	|	 	|	264634 2147 2146 186329 31969 544448 1783272 2 131567 
1	|	Acholeplasma granularum	|	 	|	264635 2147 2146 186329 31969 544448 1783272 2 131567 
1	|	Acholeplasma hippikon	|	 	|	264636 2147 2146 186329 31969 544448 1783272 2 131567 
1	|	Acholeplasma laidlawii	|	 	|	2148 2147 2146 186329 31969 544448 1783272 2 131567 
1	|	Acholeplasma modicum	|	 	|	2150 2147 2146 186329 31969 544448 1783272 2 131567 
1	|	Acholeplasma multilocale	|	 	|	264638 2147 2146 186329 31969 544448 1783272 2 131567 
1	|	Acholeplasma oculi	|	 	|	35623 2147 2146 186329 31969 544448 1783272 2 131567 
1	|	Acholeplasma palmae	|	 	|	38986 2147 2146 186329 31969 544448 1783272 2 131567 
1	|	Achromobacter denitrificans	|	 	|	32002 222 506 80840 28216 1224 2 131567 
1	|	Achromobacter insuavis	|	 	|	1287735 222 506 80840 28216 1224 2 131567 
1	|	Achromobacter ruhlandii	|	 	|	72557 222 506 80840 28216 1224 2 131567 
1	|	Achromobacter xylosoxidans	|	 	|	85698 222 506 80840 28216 1224 2 131567 
1	|	Acidaminobacter hydrogenoformans	|	 	|	65403 65402 543313 538999 186802 186801 1239 1783272 2 131567 
1	|	Acidaminococcus fermentans	|	 	|	905 904 909930 1843488 909932 1239 1783272 2 131567 
1	|	Acidaminococcus intestini	|	 	|	187327 904 909930 1843488 909932 1239 1783272 2 131567 
1	|	Acidaminococcus timonensis	|	 	|	1871002 904 909930 1843488 909932 1239 1783272 2 131567 
1	|	Acidiferrobacter thiooxydans	|	 	|	163359 986106 1692041 1692040 1236 1224 2 131567 
1	|	Acidihalobacter ferrooxidans	|	Acidihalobacter ferrooxydans	|	1765967 1765964 72276 135613 1236 1224 2 131567 
1	|	Acidihalobacter prosperus	|	 	|	160660 1765964 72276 135613 1236 1224 2 131567 
1	|	Acidimicrobiaceae bacterium RAAP-2	|	 	|	1736654 667305 84994 84993 84992 201174 1783272 2 131567 
1	|	Acidimicrobium ferrooxidans	|	 	|	53635 53634 84994 84993 84992 201174 1783272 2 131567 
1	|	Acidiphilium angustum	|	 	|	523 522 433 204441 28211 1224 2 131567 
1	|	Acidiphilium cryptum	|	 	|	524 522 433 204441 28211 1224 2 131567 
1	|	Acidiphilium multivorum	|	 	|	62140 522 433 204441 28211 1224 2 131567 
1	|	Acidipropionibacterium acidipropionici	|	 	|	1748 1912215 31957 85009 1760 201174 1783272 2 131567 
1	|	Acidipropionibacterium jensenii	|	 	|	1749 1912215 31957 85009 1760 201174 1783272 2 131567 
1	|	Acidipropionibacterium thoenii	|	 	|	1751 1912215 31957 85009 1760 201174 1783272 2 131567 
1	|	Acidisphaera rubrifaciens	|	 	|	50715 50714 433 204441 28211 1224 2 131567 
1	|	Acidithiobacillus caldus	|	 	|	33059 119977 225058 225057 1807140 1224 2 131567 
1	|	Acidithiobacillus ferrivorans	|	 	|	160808 119977 225058 225057 1807140 1224 2 131567 
1	|	Acidithiobacillus ferrooxidans	|	 	|	920 119977 225058 225057 1807140 1224 2 131567 
1	|	Acidithiobacillus thiooxidans	|	 	|	930 119977 225058 225057 1807140 1224 2 131567 
1	|	Acidithrix ferrooxidans	|	 	|	1280514 1609233 84994 84993 84992 201174 1783272 2 131567 
1	|	Acidobacterium ailaaui	|	 	|	1382359 33973 204434 204433 204432 57723 2 131567 
1	|	Acidobacterium capsulatum	|	 	|	33075 33973 204434 204433 204432 57723 2 131567 
1	|	Acidocella aminolytica	|	 	|	33998 50709 433 204441 28211 1224 2 131567 
1	|	Acidocella facilis	|	 	|	525 50709 433 204441 28211 1224 2 131567 
1	|	Acidomonas methanolica	|	 	|	437 34000 433 204441 28211 1224 2 131567 
1	|	Acidothermus cellulolyticus	|	 	|	28049 28048 85032 1643683 1760 201174 1783272 2 131567 
1	|	Acidovorax avenae	|	 	|	80867 12916 80864 80840 28216 1224 2 131567 
1	|	Acidovorax caeni	|	 	|	343013 12916 80864 80840 28216 1224 2 131567 
1	|	Acidovorax citrulli	|	 	|	80869 12916 80864 80840 28216 1224 2 131567 
1	|	Acidovorax delafieldii	|	 	|	47920 12916 80864 80840 28216 1224 2 131567 
1	|	Acidovorax ebreus	|	 	|	721785 12916 80864 80840 28216 1224 2 131567 
1	|	Acidovorax konjaci	|	 	|	32040 12916 80864 80840 28216 1224 2 131567 
1	|	Acidovorax radicis	|	 	|	758826 12916 80864 80840 28216 1224 2 131567 
1	|	Acidovorax soli	|	 	|	592050 12916 80864 80840 28216 1224 2 131567 
1	|	Acidovorax sp. JS42	|	 	|	232721 2684926 12916 80864 80840 28216 1224 2 131567 
1	|	Acidovorax sp. KKS102	|	 	|	358220 2684926 12916 80864 80840 28216 1224 2 131567 
1	|	Acidovorax temperans	|	 	|	80878 12916 80864 80840 28216 1224 2 131567 
1	|	Acidovorax valerianellae	|	 	|	187868 12916 80864 80840 28216 1224 2 131567 
1	|	Acidovorax wautersii	|	 	|	1177982 12916 80864 80840 28216 1224 2 131567 
1	|	Acinetobacter apis	|	 	|	1229165 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter baumannii	|	 	|	470 909768 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter baylyi	|	 	|	202950 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter beijerinckii	|	 	|	262668 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter bereziniae	|	 	|	106648 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter bohemicus	|	 	|	1435036 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter boissieri	|	 	|	1219383 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter bouvetii	|	 	|	202951 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter brisouii	|	 	|	396323 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter calcoaceticus	|	 	|	471 909768 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter celticus	|	 	|	1891224 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter defluvii	|	 	|	1871111 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter equi	|	 	|	1324350 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter gerneri	|	 	|	202952 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter guillouiae	|	 	|	106649 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter gyllenbergii	|	 	|	134534 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter haemolyticus	|	 	|	29430 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter harbinensis	|	 	|	1353941 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter indicus	|	 	|	756892 469 468 72274 1236 1224 2 131567 
1	|	Acinetobacter johnsonii	|	 	|	40214 469 468 72274 1236 1224 2 131567 
